time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details,source,fecha,ts,te,hora_inicio,hora_fin,duracion_h,dia_semana,dia_semana_n,mes,semana,trimestre,tasa_intercep,tasa_hit,impactos,turno,periodo
2026-04-04 18:00,2026-04-05 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,93.0,76.0,0.0,0.0,{},60.0,10.0,3.0,,,,,"{'south': 30, 'east': 85, 'north': NaN}",,,kpszsu/posts/pfbid0pZC4FfgZfabzw5M8mcecr3wQJhytEXPDWQbcpEPaj8PAnXNB3BhVEN13DGKatCNBl,2026-04-04,2026-04-04 18:00:00,2026-04-05 08:00:00,18,8,14.0,5,Saturday,2026-04,2026-03-30/2026-04-05,2026Q2,0.8172043010752689,0.18279569892473113,17.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-04-03 18:00,2026-04-04 07:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,,286.0,260.0,0.0,15.0,{},200.0,10.0,6.0,,,,,"{'south': 30, 'east': 74, 'north': NaN}",,,kpszsu/posts/pfbid0Zqw4QDwQKFFLc216BsXbzMcxfo4pns9sFyTuuiGTJmKLN7w8JnQfrzXFjniqhgJVl,2026-04-03,2026-04-03 18:00:00,2026-04-04 07:00:00,18,7,13.0,4,Friday,2026-04,2026-03-30/2026-04-05,2026Q2,0.9090909090909091,0.09090909090909094,26.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-04-02 18:00,2026-04-03 14:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,542.0,515.0,0.0,0.0,{},330.0,20.0,22.0,,,,,"{'south': 139, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0h9ELiXekqMep7BQKWSNmQ66aT9ACxaDFkRgZpbVDLjcXYNgucXmZK5uc51aJAyr7l,2026-04-02,2026-04-02 18:00:00,2026-04-03 14:00:00,18,14,20.0,3,Thursday,2026-04,2026-03-30/2026-04-05,2026Q2,0.9501845018450185,0.04981549815498154,27.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-04-01 18:00,2026-04-02 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,172.0,147.0,0.0,3.0,{},120.0,12.0,8.0,,,,,"{'south': 153, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02qkkmtbzSFLPdKcg9EzEHFmNX1ABmzXrqNgMisqWTsjCGh62m2kSgQasbFTZHVMCDl,2026-04-01,2026-04-01 18:00:00,2026-04-02 08:00:00,18,8,14.0,2,Wednesday,2026-04,2026-03-30/2026-04-05,2026Q2,0.8546511627906976,0.14534883720930236,25.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-04-01 08:00,2026-04-01 18:00,Shahed-136/131,,Ukraine,,361.0,345.0,0.0,2.0,{},250.0,,,,,,,"{'south': NaN, 'west': 28, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid03MvpSHyZaaoDd992QrhibGiqqsVLigF5uiDUrFw92iVmaHK6qiwJnbDUi7T5P2Lhl,2026-04-01,2026-04-01 08:00:00,2026-04-01 18:00:00,8,18,10.0,2,Wednesday,2026-04,2026-03-30/2026-04-05,2026Q2,0.9556786703601108,0.04432132963988922,16.0,Diurno (6-16h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-03-31 18:00,2026-04-01 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,339.0,298.0,0.0,21.0,{},200.0,11.0,5.0,,,,,"{'south': 54, 'west': 29, 'east': 135, 'north': NaN}",,,kpszsu/posts/pfbid0uvmLnU6yGQLraSh11aka8VqDZr21NAxLD39KqLgq9P4GyZyEZCg5FecJVoXKfxNpl,2026-03-31,2026-03-31 18:00:00,2026-04-01 08:00:00,18,8,14.0,1,Tuesday,2026-03,2026-03-30/2026-04-05,2026Q1,0.8790560471976401,0.12094395280235992,41.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-03-30 18:00,2026-03-31 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,289.0,267.0,0.0,2.0,{},200.0,11.0,6.0,,,,,"{'south': 54, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02HfGVgRccfqa9wgbU7r7mg2vfiTMQbv75jvxjzKdCUKvLCwXHf66ssLVHNDLWBjPAl,2026-03-30,2026-03-30 18:00:00,2026-03-31 08:00:00,18,8,14.0,0,Monday,2026-03,2026-03-30/2026-04-05,2026Q1,0.9238754325259516,0.07612456747404839,22.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-03-29 18:00,2026-03-30 08:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,164.0,150.0,0.0,2.0,{},90.0,7.0,2.0,,,,,"{'south': 34, 'east': 144, 'north': NaN}",,,kpszsu/posts/pfbid02HWy59nceGsMrER1KzAS7uU9MqgR7vo7SN7FdDymtFSb5jzdWr9vpHTZZUZy5exCMl,2026-03-29,2026-03-29 18:00:00,2026-03-30 08:30:00,18,8,14.5,6,Sunday,2026-03,2026-03-23/2026-03-29,2026Q1,0.9146341463414634,0.08536585365853655,14.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-03-28 18:00,2026-03-29 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,442.0,380.0,0.0,46.0,{},300.0,7.0,14.0,,,,,"{'south': 97, 'west': 5, 'east': 114, 'north': NaN}",,,kpszsu/posts/pfbid02HWy59nceGsMrER1KzAS7uU9MqgR7vo7SN7FdDymtFSb5jzdWr9vpHTZZUZy5exCMl,2026-03-28,2026-03-28 18:00:00,2026-03-29 09:00:00,18,9,15.0,5,Saturday,2026-03,2026-03-23/2026-03-29,2026Q1,0.8597285067873304,0.14027149321266963,62.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
2026-03-27 18:00,2026-03-28 07:30,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,Odesa oblast,273.0,252.0,0.0,0.0,{},180.0,18.0,9.0,,,,,"{'south': 115, 'east': 103, 'north': NaN}",,,kpszsu/posts/pfbid02rer2ssAL3SJpTNdNXdjH7J24JE2HiVVfPf4vVH7ng7nLRSLheLr3jDFHKzbSvVoyl,2026-03-27,2026-03-27 18:00:00,2026-03-28 07:30:00,18,7,13.5,4,Friday,2026-03,2026-03-23/2026-03-29,2026Q1,0.9230769230769231,0.07692307692307687,21.0,Nocturno (17-23h),"P3: Nueva normalidad
(Ene-Abr 2026)"
